Long,Lat,1906-1978-ft,1906-78-m,1906-2000-m,2000-2024-m,Total-Sub-m,GPS
-95.6408,29.1487,0.4,0.12,0.2,0.04,0.24,P102
-95.4595,29.1567,0.2,0.06,0.1,0.1,0.20,P107
-95.3112,29.1512,0.5,0.15,0.2,0.05,0.25,P103
-95.3781,28.9446,1.4,0.43,0.5,0.05,0.55,P101
-95.6768,29.0581,0.2,0.06,0.12,0.03,0.15,P087
-95.4713,29.0348,0.1,0.03,0.06,0.03,0.09,P079
-95.1106,29.0933,0.4,0.12,0.18,0.05,0.23,P043
-95.4037,29.0136,0.2,0.06,0.1,0.04,0.14,DWI1
-95.4190,29.1642,0.4,0.12,0.15,0.1,0.25,TXAG
-95.9724,28.9998,0.2,0.06,0.1,0.1,0.20,TXBC
