Long,Lat,1906-1978-ft,1906-78-m,1908-2000-m,2000-2024-m,Total-Sub-m,GPS
-95.6351,29.6918,2.15,0.66,1.2,0.2,1.4,ALEF
-95.2776,29.4007,1.9,0.58,0.65,0.1,0.75,ALVN
-95.4851,29.3015,0.5,0.15,0.2,0.05,0.25,ANG5
-95.7447,29.9978,0.7,0.21,0.45,0.3,0.75,AULT
-95.6319,29.9192,1.8,0.55,1.45,0.38,1.83,CFHS
-95.5558,29.8817,2.8,0.85,2.1,0.25,2.35,CFJV
-95.5426,29.6703,3.2,0.98,1.6,0.1,1.7,COH1
-95.4116,29.6285,4.1,1.25,1.85,0.1,1.95,COH2
-95.263,29.6435,6.8,2.07,2.2,0,2.2,COH3
-95.2152,29.7832,7.2,2.2,2.25,0,2.25,COH4
-95.275,29.8445,5.3,1.62,1.9,0.15,2.05,COH5
-95.1848,30.0397,1.4,0.43,0.7,0.1,0.8,COH6
-95.4966,29.8773,3.4,1.04,1.92,0.15,2.07,COH7
-94.9982,29.3938,2.3,0.7,1.15,0.08,1.23,COTM
-95.5107,29.7956,4.2,1.28,1.82,0.2,2.02,CSTE
-95.258,29.5104,3.4,1.04,1.3,0.1,1.4,DEN1
-95.5837,29.6227,2.15,0.66,1.25,0.2,1.45,DMFB
-95.6305,29.5562,1.7,0.52,0.75,0.18,0.93,FSFB
-94.7368,29.3299,0.4,0.12,0.05,0.06,0.35,GAL1
-95.5281,30.1973,0.4,0.12,0.2,0.26,0.46,GSEC
-95.562,29.7884,3.3,1.01,1.82,0.2,2.02,HCC2
-95.7157,29.7549,1.85,0.56,0.8,0.32,1.12,HPEK
-95.4696,29.8004,4.5,1.37,1.88,0.15,2.03,HSMN
-94.8905,30.0454,1.2,0.37,0.4,0.06,0.46,JGS2
-95.5949,29.8503,2.5,0.76,1.82,0.3,2.12,KKES
-95.924,29.926,0.45,0.14,0.2,0.12,0.32,KPCS
-96.6019,30.1824,0.1,0.03,0.05,0.04,0.09,LCBR
-95.4425,29.8075,4.9,1.49,1.9,0.1,2,LCI1
-96.77883,30.08948,0.1,0.03,0.02,0,0.02,LDBT
-95.5952,29.7714,1.85,0.56,1.6,0.2,1.8,MDWD
-95.2757,29.6075,6.3,1.92,1.98,0,1.98,ME01
-95.2396,29.6581,7.5,2.29,2.33,0,2.33,MEPD
-95.7452,29.8041,1.5,0.46,0.75,0.4,1.15,MRHK
-94.79173,29.31054,1,0.31,0.3,0.06,0.36,N301
-96.4671,30.6664,0.1,0.03,0.05,0.04,0.09,NBRY
-95.8033,29.725,1.4,0.43,0.5,0.3,0.8,OKEK
-95.1522,29.5386,4.7,1.43,1.65,0.013,1.66,P000
-95.6166,29.9119,1.95,0.59,1.65,0.65,2.3,P001
-95.4159,30.0007,1.9,0.58,1.15,0.6,1.75,P002
-95.6134,29.8208,2.45,0.75,1.55,0.5,2.05,P003
-95.5969,29.6304,2.1,0.64,1.2,0.26,1.46,P004
-95.5859,29.7912,2.9,0.88,1.7,0.3,2,P005
-95.6719,29.8185,1.9,0.58,1.3,0.25,1.55,P006
-95.5767,29.9363,2.05,0.63,1.55,0.58,2.13,P007
-95.4763,29.9797,2,0.61,1.35,0.44,1.79,P008
-95.0715,30.0381,1.4,0.43,0.5,0.05,0.55,P009
-95.7992,29.5664,0.7,0.21,0.25,0.064,0.31,P010
-95.8652,30.0322,0.3,0.09,0.15,0.1,0.25,P011
-95.2631,30.0597,1.2,0.37,0.7,0.13,0.83,P012
-95.49,30.1948,0.5,0.15,0.3,0.3,0.6,P013
-95.6441,29.4737,1.2,0.37,0.45,0.06,0.51,P014
-95.5272,29.5445,1.9,0.58,1,0.06,1.06,P016
-95.6153,30.0912,0.7,0.21,0.4,0.4,0.8,P017
